cp1x,cp1y,cp2x,cp2y,cp3x,cp3y,cp4x,cp4y,angleX,angleY,angleZ
0,0,488,0,500,87,-12,87,-80.0,0,0
0,0,488,0,500,129,-12,129,-75.0,0,0
0,0,489,0,500,171,-12,171,-70.0,0,0
0,0,489,0,500,211,-11,211,-65.0,0,0
0,0,489,0,500,250,-11,250,-60.0,0,0
0,0,490,0,500,287,-10,287,-55.0,0,0
0,0,491,0,500,322,-10,322,-50.0,0,0
0,0,491,0,500,354,-9,354,-45.0,0,0
0,0,492,0,500,383,-8,383,-40.0,0,0
0,0,493,0,500,410,-7,410,-35.0,0,0
0,0,494,0,500,433,-6,433,-30.0,0,0
0,0,495,0,500,453,-5,453,-25.0,0,0
0,0,496,0,500,470,-4,470,-20.0,0,0
0,0,497,0,500,483,-3,483,-15.0,0,0
0,0,498,0,500,492,-2,492,-10.0,0,0
0,0,499,0,500,498,-1,498,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,501,0,500,498,1,498,5.0,0,0
0,0,502,0,500,492,2,492,10.0,0,0
0,0,503,0,500,483,3,483,15.0,0,0
0,0,504,0,500,470,4,470,20.0,0,0
0,0,505,0,500,453,5,453,25.0,0,0
0,0,506,0,500,433,6,433,30.0,0,0
0,0,507,0,500,410,7,410,35.0,0,0
0,0,508,0,500,383,8,383,40.0,0,0
0,0,509,0,500,354,9,354,45.0,0,0
0,0,510,0,500,322,10,322,50.0,0,0
0,0,510,0,500,287,10,287,55.0,0,0
0,0,511,0,500,250,11,250,60.0,0,0
0,0,512,0,500,211,11,211,65.0,0,0
0,0,512,0,500,171,12,171,70.0,0,0
0,0,512,0,500,129,12,129,75.0,0,0
0,0,513,0,500,87,12,87,80.0,0,0
0,0,87,12,87,500,0,513,-80.0,0,0
0,0,129,12,129,500,0,512,-75.0,0,0
0,0,171,12,171,500,0,512,-70.0,0,0
0,0,211,11,211,500,0,512,-65.0,0,0
0,0,250,11,250,500,0,511,-60.0,0,0
0,0,287,10,287,500,0,510,-55.0,0,0
0,0,322,10,322,500,0,510,-50.0,0,0
0,0,354,9,354,500,0,509,-45.0,0,0
0,0,383,8,383,500,0,508,-40.0,0,0
0,0,410,7,410,500,0,507,-35.0,0,0
0,0,433,6,433,500,0,506,-30.0,0,0
0,0,453,5,453,500,0,505,-25.0,0,0
0,0,470,4,470,500,0,504,-20.0,0,0
0,0,483,3,483,500,0,503,-15.0,0,0
0,0,492,2,492,500,0,502,-10.0,0,0
0,0,498,1,498,500,0,501,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,498,-1,498,500,0,499,5.0,0,0
0,0,492,-2,492,500,0,498,10.0,0,0
0,0,483,-3,483,500,0,497,15.0,0,0
0,0,470,-4,470,500,0,496,20.0,0,0
0,0,453,-5,453,500,0,495,25.0,0,0
0,0,433,-6,433,500,0,494,30.0,0,0
0,0,410,-7,410,500,0,493,35.0,0,0
0,0,383,-8,383,500,0,492,40.0,0,0
0,0,354,-9,354,500,0,491,45.0,0,0
0,0,322,-10,322,500,0,491,50.0,0,0
0,0,287,-10,287,500,0,490,55.0,0,0
0,0,250,-11,250,500,0,489,60.0,0,0
0,0,211,-11,211,500,0,489,65.0,0,0
0,0,171,-12,171,500,0,489,70.0,0,0
0,0,129,-12,129,500,0,488,75.0,0,0
0,0,87,-12,87,500,0,488,80.0,0,0
0,0,493,0,505,89,-13,89,-80.0,0,0
0,0,493,0,505,132,-12,132,-75.0,0,0
0,0,493,0,505,174,-12,174,-70.0,0,0
0,0,493,0,505,215,-12,215,-65.0,0,0
0,0,494,0,505,255,-11,255,-60.0,0,0
0,0,494,0,504,292,-10,292,-55.0,0,0
0,0,494,0,504,326,-10,326,-50.0,0,0
0,0,495,0,504,359,-9,359,-45.0,0,0
0,0,495,0,503,388,-8,388,-40.0,0,0
0,0,496,0,503,414,-7,414,-35.0,0,0
0,0,496,0,503,437,-6,437,-30.0,0,0
0,0,497,0,502,457,-5,457,-25.0,0,0
0,0,497,0,502,473,-4,473,-20.0,0,0
0,0,498,0,501,485,-3,485,-15.0,0,0
0,0,499,0,501,494,-2,494,-10.0,0,0
0,0,499,0,500,499,-1,499,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,501,0,500,497,1,497,5.0,0,0
0,0,501,0,499,491,2,491,10.0,0,0
0,0,502,0,499,480,3,480,15.0,0,0
0,0,503,0,498,467,4,467,20.0,0,0
0,0,503,0,498,449,5,449,25.0,0,0
0,0,504,0,498,429,6,429,30.0,0,0
0,0,504,0,497,405,7,405,35.0,0,0
0,0,505,0,497,378,8,378,40.0,0,0
0,0,505,0,497,349,9,349,45.0,0,0
0,0,506,0,496,317,9,317,50.0,0,0
0,0,506,0,496,282,10,282,55.0,0,0
0,0,507,0,496,246,11,246,60.0,0,0
0,0,507,0,496,208,11,208,65.0,0,0
0,0,507,0,496,168,12,168,70.0,0,0
0,0,507,0,496,127,12,127,75.0,0,0
0,0,507,0,495,85,12,85,80.0,0,0
0,0,87,7,87,495,0,513,-80.0,0,0
0,0,129,7,129,495,0,512,-75.0,0,0
0,0,171,7,171,496,0,512,-70.0,0,0
0,0,211,7,211,496,0,512,-65.0,0,0
0,0,250,6,250,496,0,511,-60.0,0,0
0,0,287,6,287,496,0,510,-55.0,0,0
0,0,322,6,322,496,0,510,-50.0,0,0
0,0,354,5,354,497,0,509,-45.0,0,0
0,0,383,5,383,497,0,508,-40.0,0,0
0,0,410,4,410,497,0,507,-35.0,0,0
0,0,433,4,433,498,0,506,-30.0,0,0
0,0,453,3,453,498,0,505,-25.0,0,0
0,0,470,3,470,498,0,504,-20.0,0,0
0,0,483,2,483,499,0,503,-15.0,0,0
0,0,492,1,492,499,0,502,-10.0,0,0
0,0,498,1,498,500,0,501,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,498,-1,498,500,0,499,5.0,0,0
0,0,492,-1,492,501,0,498,10.0,0,0
0,0,483,-2,483,501,0,497,15.0,0,0
0,0,470,-3,470,502,0,496,20.0,0,0
0,0,453,-3,453,502,0,495,25.0,0,0
0,0,433,-4,433,503,0,494,30.0,0,0
0,0,410,-4,410,503,0,493,35.0,0,0
0,0,383,-5,383,503,0,492,40.0,0,0
0,0,354,-5,354,504,0,491,45.0,0,0
0,0,322,-6,322,504,0,491,50.0,0,0
0,0,287,-6,287,504,0,490,55.0,0,0
0,0,250,-6,250,505,0,489,60.0,0,0
0,0,211,-7,211,505,0,489,65.0,0,0
0,0,171,-7,171,505,0,489,70.0,0,0
0,0,129,-7,129,505,0,488,75.0,0,0
0,0,87,-7,87,505,0,488,80.0,0,0
0,0,488,0,505,87,-7,87,-80.0,0,0
0,0,488,0,505,129,-7,129,-75.0,0,0
0,0,489,0,505,171,-7,171,-70.0,0,0
0,0,489,0,505,211,-7,211,-65.0,0,0
0,0,489,0,505,250,-6,250,-60.0,0,0
0,0,490,0,504,287,-6,287,-55.0,0,0
0,0,491,0,504,322,-6,322,-50.0,0,0
0,0,491,0,504,354,-5,354,-45.0,0,0
0,0,492,0,503,383,-5,383,-40.0,0,0
0,0,493,0,503,410,-4,410,-35.0,0,0
0,0,494,0,503,433,-4,433,-30.0,0,0
0,0,495,0,502,453,-3,453,-25.0,0,0
0,0,496,0,502,470,-3,470,-20.0,0,0
0,0,497,0,501,483,-2,483,-15.0,0,0
0,0,498,0,501,492,-1,492,-10.0,0,0
0,0,499,0,500,498,-1,498,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,501,0,500,498,1,498,5.0,0,0
0,0,502,0,499,492,1,492,10.0,0,0
0,0,503,0,499,483,2,483,15.0,0,0
0,0,504,0,498,470,3,470,20.0,0,0
0,0,505,0,498,453,3,453,25.0,0,0
0,0,506,0,498,433,4,433,30.0,0,0
0,0,507,0,497,410,4,410,35.0,0,0
0,0,508,0,497,383,5,383,40.0,0,0
0,0,509,0,497,354,5,354,45.0,0,0
0,0,510,0,496,322,6,322,50.0,0,0
0,0,510,0,496,287,6,287,55.0,0,0
0,0,511,0,496,250,6,250,60.0,0,0
0,0,512,0,496,211,7,211,65.0,0,0
0,0,512,0,496,171,7,171,70.0,0,0
0,0,512,0,495,129,7,129,75.0,0,0
0,0,513,0,495,87,7,87,80.0,0,0
0,0,85,12,85,495,0,507,-80.0,0,0
0,0,127,12,127,496,0,507,-75.0,0,0
0,0,168,12,168,496,0,507,-70.0,0,0
0,0,208,11,208,496,0,507,-65.0,0,0
0,0,246,11,246,496,0,507,-60.0,0,0
0,0,282,10,282,496,0,506,-55.0,0,0
0,0,317,9,317,496,0,506,-50.0,0,0
0,0,349,9,349,497,0,505,-45.0,0,0
0,0,378,8,378,497,0,505,-40.0,0,0
0,0,405,7,405,497,0,504,-35.0,0,0
0,0,429,6,429,498,0,504,-30.0,0,0
0,0,449,5,449,498,0,503,-25.0,0,0
0,0,467,4,467,498,0,503,-20.0,0,0
0,0,480,3,480,499,0,502,-15.0,0,0
0,0,491,2,491,499,0,501,-10.0,0,0
0,0,497,1,497,500,0,501,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,499,-1,499,500,0,499,5.0,0,0
0,0,494,-2,494,501,0,499,10.0,0,0
0,0,485,-3,485,501,0,498,15.0,0,0
0,0,473,-4,473,502,0,497,20.0,0,0
0,0,457,-5,457,502,0,497,25.0,0,0
0,0,437,-6,437,503,0,496,30.0,0,0
0,0,414,-7,414,503,0,496,35.0,0,0
0,0,388,-8,388,503,0,495,40.0,0,0
0,0,359,-9,359,504,0,495,45.0,0,0
0,0,326,-10,326,504,0,494,50.0,0,0
0,0,292,-10,292,504,0,494,55.0,0,0
0,0,255,-11,255,505,0,494,60.0,0,0
0,0,215,-12,215,505,0,493,65.0,0,0
0,0,174,-12,174,505,0,493,70.0,0,0
0,0,132,-12,132,505,0,493,75.0,0,0
0,0,89,-13,89,505,0,493,80.0,0,0
0,0,493,0,510,89,-8,89,-80.0,0,0
0,0,493,0,510,132,-7,132,-75.0,0,0
0,0,493,0,510,174,-7,174,-70.0,0,0
0,0,493,0,509,215,-7,215,-65.0,0,0
0,0,494,0,509,255,-7,255,-60.0,0,0
0,0,494,0,509,292,-6,292,-55.0,0,0
0,0,494,0,508,326,-6,326,-50.0,0,0
0,0,495,0,507,359,-5,359,-45.0,0,0
0,0,495,0,507,388,-5,388,-40.0,0,0
0,0,496,0,506,414,-4,414,-35.0,0,0
0,0,496,0,505,437,-4,437,-30.0,0,0
0,0,497,0,504,457,-3,457,-25.0,0,0
0,0,497,0,503,473,-3,473,-20.0,0,0
0,0,498,0,503,485,-2,485,-15.0,0,0
0,0,499,0,502,494,-1,494,-10.0,0,0
0,0,499,0,501,499,-1,499,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,501,0,499,497,1,497,5.0,0,0
0,0,501,0,498,491,1,491,10.0,0,0
0,0,502,0,497,480,2,480,15.0,0,0
0,0,503,0,497,467,3,467,20.0,0,0
0,0,503,0,496,449,3,449,25.0,0,0
0,0,504,0,495,429,4,429,30.0,0,0
0,0,504,0,494,405,4,405,35.0,0,0
0,0,505,0,494,378,5,378,40.0,0,0
0,0,505,0,493,349,5,349,45.0,0,0
0,0,506,0,493,317,6,317,50.0,0,0
0,0,506,0,492,282,6,282,55.0,0,0
0,0,507,0,492,246,6,246,60.0,0,0
0,0,507,0,491,208,7,208,65.0,0,0
0,0,507,0,491,168,7,168,70.0,0,0
0,0,507,0,491,127,7,127,75.0,0,0
0,0,507,0,491,85,7,85,80.0,0,0
0,0,85,7,85,491,0,507,-80.0,0,0
0,0,127,7,127,491,0,507,-75.0,0,0
0,0,168,7,168,491,0,507,-70.0,0,0
0,0,208,7,208,491,0,507,-65.0,0,0
0,0,246,6,246,492,0,507,-60.0,0,0
0,0,282,6,282,492,0,506,-55.0,0,0
0,0,317,6,317,493,0,506,-50.0,0,0
0,0,349,5,349,493,0,505,-45.0,0,0
0,0,378,5,378,494,0,505,-40.0,0,0
0,0,405,4,405,494,0,504,-35.0,0,0
0,0,429,4,429,495,0,504,-30.0,0,0
0,0,449,3,449,496,0,503,-25.0,0,0
0,0,467,3,467,497,0,503,-20.0,0,0
0,0,480,2,480,497,0,502,-15.0,0,0
0,0,491,1,491,498,0,501,-10.0,0,0
0,0,497,1,497,499,0,501,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,499,-1,499,501,0,499,5.0,0,0
0,0,494,-1,494,502,0,499,10.0,0,0
0,0,485,-2,485,503,0,498,15.0,0,0
0,0,473,-3,473,503,0,497,20.0,0,0
0,0,457,-3,457,504,0,497,25.0,0,0
0,0,437,-4,437,505,0,496,30.0,0,0
0,0,414,-4,414,506,0,496,35.0,0,0
0,0,388,-5,388,507,0,495,40.0,0,0
0,0,359,-5,359,507,0,495,45.0,0,0
0,0,326,-6,326,508,0,494,50.0,0,0
0,0,292,-6,292,509,0,494,55.0,0,0
0,0,255,-7,255,509,0,494,60.0,0,0
0,0,215,-7,215,509,0,493,65.0,0,0
0,0,174,-7,174,510,0,493,70.0,0,0
0,0,132,-7,132,510,0,493,75.0,0,0
0,0,89,-8,89,510,0,493,80.0,0,0
0,0,493,0,500,89,-18,89,-80.0,0,0
0,0,493,0,500,132,-17,132,-75.0,0,0
0,0,493,0,500,174,-17,174,-70.0,0,0
0,0,493,0,500,215,-16,215,-65.0,0,0
0,0,494,0,500,255,-15,255,-60.0,0,0
0,0,494,0,500,292,-15,292,-55.0,0,0
0,0,494,0,500,326,-14,326,-50.0,0,0
0,0,495,0,500,359,-13,359,-45.0,0,0
0,0,495,0,500,388,-11,388,-40.0,0,0
0,0,496,0,500,414,-10,414,-35.0,0,0
0,0,496,0,500,437,-9,437,-30.0,0,0
0,0,497,0,500,457,-7,457,-25.0,0,0
0,0,497,0,500,473,-6,473,-20.0,0,0
0,0,498,0,500,485,-5,485,-15.0,0,0
0,0,499,0,500,494,-3,494,-10.0,0,0
0,0,499,0,500,499,-2,499,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,501,0,500,497,2,497,5.0,0,0
0,0,501,0,500,491,3,491,10.0,0,0
0,0,502,0,500,480,5,480,15.0,0,0
0,0,503,0,500,467,6,467,20.0,0,0
0,0,503,0,500,449,7,449,25.0,0,0
0,0,504,0,500,429,9,429,30.0,0,0
0,0,504,0,500,405,10,405,35.0,0,0
0,0,505,0,500,378,11,378,40.0,0,0
0,0,505,0,500,349,12,349,45.0,0,0
0,0,506,0,500,317,13,317,50.0,0,0
0,0,506,0,500,282,14,282,55.0,0,0
0,0,507,0,500,246,15,246,60.0,0,0
0,0,507,0,500,208,16,208,65.0,0,0
0,0,507,0,500,168,16,168,70.0,0,0
0,0,507,0,500,127,17,127,75.0,0,0
0,0,507,0,500,85,17,85,80.0,0,0
0,0,89,8,89,500,0,518,-80.0,0,0
0,0,132,7,132,500,0,517,-75.0,0,0
0,0,174,7,174,500,0,517,-70.0,0,0
0,0,215,7,215,500,0,516,-65.0,0,0
0,0,255,7,255,500,0,516,-60.0,0,0
0,0,292,6,292,500,0,515,-55.0,0,0
0,0,326,6,326,500,0,514,-50.0,0,0
0,0,359,5,359,500,0,513,-45.0,0,0
0,0,388,5,388,500,0,512,-40.0,0,0
0,0,414,4,414,500,0,510,-35.0,0,0
0,0,437,4,437,500,0,509,-30.0,0,0
0,0,457,3,457,500,0,508,-25.0,0,0
0,0,473,3,473,500,0,506,-20.0,0,0
0,0,485,2,485,500,0,505,-15.0,0,0
0,0,494,1,494,500,0,503,-10.0,0,0
0,0,499,1,499,500,0,502,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,497,-1,497,500,0,498,5.0,0,0
0,0,491,-1,491,500,0,497,10.0,0,0
0,0,480,-2,480,500,0,496,15.0,0,0
0,0,467,-3,467,500,0,494,20.0,0,0
0,0,449,-3,449,500,0,493,25.0,0,0
0,0,429,-4,429,500,0,491,30.0,0,0
0,0,405,-4,405,500,0,490,35.0,0,0
0,0,378,-5,378,500,0,489,40.0,0,0
0,0,349,-5,349,500,0,488,45.0,0,0
0,0,317,-6,317,500,0,487,50.0,0,0
0,0,282,-6,282,500,0,486,55.0,0,0
0,0,246,-6,246,500,0,485,60.0,0,0
0,0,208,-7,208,500,0,485,65.0,0,0
0,0,168,-7,168,500,0,484,70.0,0,0
0,0,127,-7,127,500,0,484,75.0,0,0
0,0,85,-7,85,500,0,483,80.0,0,0
0,0,483,0,500,85,-7,85,-80.0,0,0
0,0,484,0,500,127,-7,127,-75.0,0,0
0,0,484,0,500,168,-7,168,-70.0,0,0
0,0,485,0,500,208,-7,208,-65.0,0,0
0,0,485,0,500,246,-6,246,-60.0,0,0
0,0,486,0,500,282,-6,282,-55.0,0,0
0,0,487,0,500,317,-6,317,-50.0,0,0
0,0,488,0,500,349,-5,349,-45.0,0,0
0,0,489,0,500,378,-5,378,-40.0,0,0
0,0,490,0,500,405,-4,405,-35.0,0,0
0,0,491,0,500,429,-4,429,-30.0,0,0
0,0,493,0,500,449,-3,449,-25.0,0,0
0,0,494,0,500,467,-3,467,-20.0,0,0
0,0,496,0,500,480,-2,480,-15.0,0,0
0,0,497,0,500,491,-1,491,-10.0,0,0
0,0,498,0,500,497,-1,497,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,502,0,500,499,1,499,5.0,0,0
0,0,503,0,500,494,1,494,10.0,0,0
0,0,505,0,500,485,2,485,15.0,0,0
0,0,506,0,500,473,3,473,20.0,0,0
0,0,508,0,500,457,3,457,25.0,0,0
0,0,509,0,500,437,4,437,30.0,0,0
0,0,510,0,500,414,4,414,35.0,0,0
0,0,512,0,500,388,5,388,40.0,0,0
0,0,513,0,500,359,5,359,45.0,0,0
0,0,514,0,500,326,6,326,50.0,0,0
0,0,515,0,500,292,6,292,55.0,0,0
0,0,516,0,500,255,7,255,60.0,0,0
0,0,516,0,500,215,7,215,65.0,0,0
0,0,517,0,500,174,7,174,70.0,0,0
0,0,517,0,500,132,7,132,75.0,0,0
0,0,518,0,500,89,8,89,80.0,0,0
0,0,85,17,85,500,0,507,-80.0,0,0
0,0,127,17,127,500,0,507,-75.0,0,0
0,0,168,16,168,500,0,507,-70.0,0,0
0,0,208,16,208,500,0,507,-65.0,0,0
0,0,246,15,246,500,0,507,-60.0,0,0
0,0,282,14,282,500,0,506,-55.0,0,0
0,0,317,13,317,500,0,506,-50.0,0,0
0,0,349,12,349,500,0,505,-45.0,0,0
0,0,378,11,378,500,0,505,-40.0,0,0
0,0,405,10,405,500,0,504,-35.0,0,0
0,0,429,9,429,500,0,504,-30.0,0,0
0,0,449,7,449,500,0,503,-25.0,0,0
0,0,467,6,467,500,0,503,-20.0,0,0
0,0,480,5,480,500,0,502,-15.0,0,0
0,0,491,3,491,500,0,501,-10.0,0,0
0,0,497,2,497,500,0,501,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,499,-2,499,500,0,499,5.0,0,0
0,0,494,-3,494,500,0,499,10.0,0,0
0,0,485,-5,485,500,0,498,15.0,0,0
0,0,473,-6,473,500,0,497,20.0,0,0
0,0,457,-7,457,500,0,497,25.0,0,0
0,0,437,-9,437,500,0,496,30.0,0,0
0,0,414,-10,414,500,0,496,35.0,0,0
0,0,388,-11,388,500,0,495,40.0,0,0
0,0,359,-13,359,500,0,495,45.0,0,0
0,0,326,-14,326,500,0,494,50.0,0,0
0,0,292,-15,292,500,0,494,55.0,0,0
0,0,255,-15,255,500,0,494,60.0,0,0
0,0,215,-16,215,500,0,493,65.0,0,0
0,0,174,-17,174,500,0,493,70.0,0,0
0,0,132,-17,132,500,0,493,75.0,0,0
0,0,89,-18,89,500,0,493,80.0,0,0
0,0,483,0,491,85,-17,85,-80.0,0,0
0,0,484,0,491,127,-17,127,-75.0,0,0
0,0,484,0,491,168,-16,168,-70.0,0,0
0,0,485,0,491,208,-16,208,-65.0,0,0
0,0,485,0,492,246,-15,246,-60.0,0,0
0,0,486,0,492,282,-14,282,-55.0,0,0
0,0,487,0,493,317,-13,317,-50.0,0,0
0,0,488,0,493,349,-12,349,-45.0,0,0
0,0,489,0,494,378,-11,378,-40.0,0,0
0,0,490,0,494,405,-10,405,-35.0,0,0
0,0,491,0,495,429,-9,429,-30.0,0,0
0,0,493,0,496,449,-7,449,-25.0,0,0
0,0,494,0,497,467,-6,467,-20.0,0,0
0,0,496,0,497,480,-5,480,-15.0,0,0
0,0,497,0,498,491,-3,491,-10.0,0,0
0,0,498,0,499,497,-2,497,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,502,0,501,499,2,499,5.0,0,0
0,0,503,0,502,494,3,494,10.0,0,0
0,0,505,0,503,485,5,485,15.0,0,0
0,0,506,0,503,473,6,473,20.0,0,0
0,0,508,0,504,457,7,457,25.0,0,0
0,0,509,0,505,437,9,437,30.0,0,0
0,0,510,0,506,414,10,414,35.0,0,0
0,0,512,0,507,388,11,388,40.0,0,0
0,0,513,0,507,359,13,359,45.0,0,0
0,0,514,0,508,326,14,326,50.0,0,0
0,0,515,0,509,292,15,292,55.0,0,0
0,0,516,0,509,255,15,255,60.0,0,0
0,0,516,0,509,215,16,215,65.0,0,0
0,0,517,0,510,174,17,174,70.0,0,0
0,0,517,0,510,132,17,132,75.0,0,0
0,0,518,0,510,89,18,89,80.0,0,0
0,0,89,18,89,510,0,518,-80.0,0,0
0,0,132,17,132,510,0,517,-75.0,0,0
0,0,174,17,174,510,0,517,-70.0,0,0
0,0,215,16,215,509,0,516,-65.0,0,0
0,0,255,15,255,509,0,516,-60.0,0,0
0,0,292,15,292,509,0,515,-55.0,0,0
0,0,326,14,326,508,0,514,-50.0,0,0
0,0,359,13,359,507,0,513,-45.0,0,0
0,0,388,11,388,507,0,512,-40.0,0,0
0,0,414,10,414,506,0,510,-35.0,0,0
0,0,437,9,437,505,0,509,-30.0,0,0
0,0,457,7,457,504,0,508,-25.0,0,0
0,0,473,6,473,503,0,506,-20.0,0,0
0,0,485,5,485,503,0,505,-15.0,0,0
0,0,494,3,494,502,0,503,-10.0,0,0
0,0,499,2,499,501,0,502,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,497,-2,497,499,0,498,5.0,0,0
0,0,491,-3,491,498,0,497,10.0,0,0
0,0,480,-5,480,497,0,496,15.0,0,0
0,0,467,-6,467,497,0,494,20.0,0,0
0,0,449,-7,449,496,0,493,25.0,0,0
0,0,429,-9,429,495,0,491,30.0,0,0
0,0,405,-10,405,494,0,490,35.0,0,0
0,0,378,-11,378,494,0,489,40.0,0,0
0,0,349,-12,349,493,0,488,45.0,0,0
0,0,317,-13,317,493,0,487,50.0,0,0
0,0,282,-14,282,492,0,486,55.0,0,0
0,0,246,-15,246,492,0,485,60.0,0,0
0,0,208,-16,208,491,0,485,65.0,0,0
0,0,168,-16,168,491,0,484,70.0,0,0
0,0,127,-17,127,491,0,484,75.0,0,0
0,0,85,-17,85,491,0,483,80.0,0,0
0,0,498,0,510,90,-13,90,-80.0,0,0
0,0,498,0,510,135,-13,135,-75.0,0,0
0,0,498,0,510,178,-12,178,-70.0,0,0
0,0,498,0,510,219,-12,219,-65.0,0,0
0,0,498,0,509,259,-11,259,-60.0,0,0
0,0,498,0,509,297,-11,297,-55.0,0,0
0,0,498,0,508,332,-10,332,-50.0,0,0
0,0,498,0,507,364,-9,364,-45.0,0,0
0,0,498,0,507,393,-8,393,-40.0,0,0
